category,unique_specialty_count,hbp_estimated_cost_inr_low,hbp_estimated_cost_inr_high,hbp_cost_confidence,hbp_cost_source_label,hbp_cost_source_url,specialties
"Administration, Operations & Support Services",14,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,All Specialities; Ambulance Services; Engineering and Maintenance; General Administration; Health Checkup; Health Checkups; Healthcare Tourism; Home Collection; Multispeciality; Other Specialties; Outpatient Services; Pharmacy; Specialist Consultation; Superspeciality
Alternative & Integrative Medicine,31,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Acupressure; Ayurveda; Ayurvedic; Ayurvedic Treatments; Holistic Therapies; Homeopath; Homeopathic; Homeopathic Doctors; Homeopathy; Homoeopath; Homoeopathy; Kaya Chikitsa; Kayachikitsa; Marma Chikitsa; Meru Chikitsa; Naturopathy; Panchakarma; Panchakarma Chikitsa; Prasuti Tantra Evum Stri Roga; Rasa Chikitsa; Rasayana Chikitsa; Salakya Chikitsa; Shalakya Tantra; Shalakyatantra; Shalya Chikitsa; Shalya Tantra; Shalyatantra; Unani Hospitals; Vajikarana Chikitsa; Visha Chikitsa; Yoga and Naturopathy
Anesthesia & Pain Medicine,38,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Ambulatory Anesthesiology; Anaesthesiologist; Anesthesia; Anesthesiapainmanagement; Anesthesiologist; Anesthesiology; Anesthesiology Department; Anesthesiology and Pain Management; Back and Neck Pain; Chronic Pain; Department of Endoscopic Anesthesia; Hospice and Palliative Medicine Anesthesiology; Interventional Pain Management; Interventional Pain Medicine; Interventional Pain Physicians; Interventional Pain Therapy; Low Back Pain; Orofacial Pain; Pain Clinic; Pain Management; Pain Management Clinic; Pain Management Interventional; Pain Management Pmr; Pain Management and Palliative Care; Pain Medicine; Pain Medicine Anesthesiology; Pain Medicine Pmr; Pain Palliative; Pain Palliative Care; Pain Palliative Medicine; Pain Relief; Pain and Palliative Care; Pain and Palliative Medicine; Painmanagement; Perioperative Anesthesia; Regional Anesthesiology and Acute Pain; Spinal Pain Therapy; Sympathetic Nerve Block
Cardiology & Cardiothoracic,98,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Adult Cardiac Anesthesiology; Adult Congenital Cardiologist; CTVS; CVTS; Cardiac; Cardiac Anaesthesiology; Cardiac Anesthesia; Cardiac Anesthesiology; Cardiac Care; Cardiac Catheterisation; Cardiac Diagnostics; Cardiac Diseases; Cardiac Electro Physiologist; Cardiac Electro Physiology; Cardiac Electrophysiology; Cardiac Invasive Procedures; Cardiac Physiotherapy; Cardiac Rehabilitation; Cardiac Rehabilitation and Physiotherapy; Cardiac Science; Cardiac Sciences; Cardiac Surgeon; Cardiac Surgery; Cardiac and Cardiothoracic Surgery; Cardiac and Pulmonary Rehabilitation; Cardiacsurgery; Cardio Oncology; Cardio Thoracic; Cardio Thoracic Surgery; Cardio Thoracic Vascular Surgery; Cardio Thoracic and Vascular Surgery; Cardio Vascular Surgeon; Cardio Vascular and Thoracic Surgery; Cardiologist; Cardiology; Cardiology Cardiac Surgery; Cardiology Care; Cardiology ENT; Cardiology Interventional; Cardiology Tests; Cardiology Thrombolysis; Cardiology and Cardiothoracic Surgery; Cardiology and Critical Coronary Care; Cardiology and Electrophysiology; Cardiology and Interventional Cardiology; Cardiothoracic; Cardiothoracic Radiology; Cardiothoracic Surgeon; Cardiothoracic Surgery; Cardiothoracic Vascular Surgery; Cardiothoracic and Cardiovascular Surgery; Cardiovascular Care Services; Cardiovascular Surgery; Cardiovascular Thoracic; Cardiovascular Thoracic Surgery; Cardiovascular and Thoracic Surgery; Carerisk Management of Heart Disease; Clinical Cardiologist; Clinical Cardiology; Coronary Angiography; Coronary Angioplasty; Diagnostic Cardiology; Echocardiography; Echocardiologist; Electrophysiology; Fetal Prenatal Eco Cardiography; Heart Failure Clinic; Heart Lung Transplant; Heart Transplant; Heart Valve Centre; Heart and Lung Transplant; Heart and Lung Transplant Centre; Heart and Lung Transplantation; Intensive Cardiac Care Centre; Interventional Cardiologist; Interventional Cardiology; Interventional Cardiology Centre; Neuro Electrophysiology; Non Interventional Cardiology; Non Invasive Cardiology; Non Invasive Cardiology Centre; Noninvasive Cardiology; Noninvasive Cardiology Centre; Paediatric Cardiac Centre; Paediatric Cardiac Sciences; Paediatric Cardiology; Pediatric CVTS Cardio Vascular and Thoracic Surgery; Pediatric Cardiac Centre; Pediatric Cardiac Services; Pediatric Cardiac Surgery; Pediatric Cardiologist; Pediatric Cardiology; Preventive Cardiologist; Preventive Cardiology; Sports Cardiology; Transradial Cardiology; Valvular Heart Surgery; Womens Cardiology Care
"Dental, Oral & Maxillofacial",281,3000,22000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Acrylic Partial Denture; Advanced Dentistry; Aesthetic Dentistry; Aligners; All On 46 Implant; Attachment Partial Dentures; Attachmentpartialdentures; Braces; Braces Aligners; Braces Treatment; Bridges; Bridges and Crowns; Broken Tooth Repair; Cast Partial Denture; Cavity Filling; Clear Aligners; Cochlear Implant Evaluation and Rehabilitation; Community Dentistry; Community Dentistry Public Health Dentistry; Community Oral Health Care Program; Complete Dentistry; Comprehensive Oral Healthcare; Computer Guided Implant Surgery; Conservative Dentistry; Conservative Dentistry and Endodontics; Conservative and Endodontics; Cosmetic Aesthetic Dentistry; Cosmetic Dentistry; Cosmetic Dentists; Cosmetic Fillings; Cosmetic Maxillofacial Surgery; Cosmetics Dentistry; Cosmetics and Aesthetics Dentistry; Craniofacial and Cleft Oral Maxillofacial Surgery; Craniomaxillofacial Surgery; Crown Bridges; Crown Lengthening; Crown and Bridge; Crownbridges; Crowns; Crowns and Bridges; Crowns and Bridges Fixing; D Dentistry; Deep Scaling and Polishing; Dental; Dental Aligners; Dental Anesthesia; Dental Bridges; Dental Care; Dental Cleanings; Dental Cosmetic and Implantology; Dental Crown; Dental Exams; Dental Fillings; Dental Imaging; Dental Implant; Dental Implantology; Dental Implants; Dental Jewellery; Dental Lab; Dental Laser Treatment; Dental Lasers; Dental Material; Dental Materials; Dental Maxillofacial; Dental Maxillofacial Radiology; Dental Maxillofacial Surgery; Dental Medicine; Dental Omfs; Dental Radiology; Dental Restoration; Dental Science; Dental Sciences; Dental Sedation; Dental Surgeon; Dental Surgery; Dental Treatment; Dental Veneers; Dental Xray; Dental Xrays; Dental and Maxillofacial; Dental and Maxillofacial Surgery; Dental and Oral Surgery; Dentalspecialtysuperspecialty; Dentist; Dentistry; Dentistry General Dentistry; Dentistry Maxillofacial Surgery; Dentistry Oral Surgery; Dentistry Periodontal; Dentistry Prosthodontic; Dentistry and Oral Surgery; Dentistrydentistry; Denture; Dentures; Diagnostic and Preventive Dental; Digital Dentistry; Digital Smile Design; Digital Smile Designing; Elderly Dentistry; Endodontia; Endodontics; Endodontics and Conservative Dentistry; Endodontist; Esthetic Dentistry; Family Dentistry; Fillings; Fixed Prosthodontics; Full Mouth Dental Implants; General Community Dentistry; General Dentistry; Geriatric Dentistry; Gingivoplasty; Gum Depigmentation; Gum Specialists; Gum Surgery; Gum Treatments; Holistic Dentistry; Hypnodontics; Impacted Tooth Extraction; Impaction Tooth Extraction; Implant; Implant Dentistry; Implant Prosthesis; Implant Services; Implantable Contacts Lenses; Implantalogy; Implantdentistry; Implantologist; Implantology; Implants; Instantteethwhitening; Invisalign; Invisalign Provider; Invisalign Treatment; Invisalign and Braces; Invisible Braces; Invisible Braces and Clear Aligners; Invisible Teeth Aligners; Kids Dentistry; Laser Dentistory; Laser Dentistry; Malaligned Teeth; Maxillo Facial Prosthetics; Maxillo Facial Prosthodontics; Maxillo Facial Surgery; Maxillofacial Prosthesis; Maxillofacial Prosthetics; Maxillofacial Surgery; Maxillofacial and Dental Surgery; Maxillofacialprosthesis; Micro Dentistry; Microscope Dentistry; Microscopic Dentistry; Mini Implants; Onedaycompletedenture; Oral Biopsy Procedures; Oral Diagnosis Medicine and Radiology; Oral Diagnosis Radiology; Oral Diagnosis and Radiology; Oral Histology; Oral Implantology; Oral Maxillo Facial Radiology; Oral Maxillofacial; Oral Maxillofacial Radiology; Oral Maxillofacial Surgery; Oral Medicine; Oral Medicine Radiology; Oral Medicine Radiology and Pathology; Oral Medicine and Radiology; Oral Motricity; Oral Pathology; Oral Pathology and Forensic Odontology; Oral Pathology and Microbiology; Oral Prophylaxis; Oral Radiology; Oral Radiology and Diagnosis; Oral Submucous Fibrosis; Oral Submucous Fibrosis Treatment; Oral Surgery; Oral Surgery Procedures; Oral Surgical Procedures; Oral and Craniomaxillofacial Surgery; Oral and Dental Surgery; Oral and Maxillo Facial Surgery; Oral and Maxillo Surgery; Oral and Maxillofacial Pathology; Oral and Maxillofacial Pathology and Microbiology; Oral and Maxillofacial Pathology and Oral Microbiology; Oral and Maxillofacial Radiology; Oral and Maxillofacial Surgeon; Oral and Maxillofacial Surgery; Orofacial Pain and Oral Medicine; Oromaxillo Facial and Reconstructive Surgery; Overdenture; Pacemaker Implant Techniques; Pacemaker Implantation; Pain Free Dentistry; Painless Dentistry; Painless Laser Gum Surgery; Peridontics; Periodontal; Periodontal Care; Periodontal Dentistry; Periodontal Flap Surgery; Periodontal Gum Care; Periodontal Plastic Surgery; Periodontal Surgery; Periodontia; Periodontic Surgery; Periodontics; Periodontics Plastic Surgery; Periodontics and Dental Implants; Periodontics and Implantology; Periodontics and Oral Implantology; Periodontist; Periodontists; Periodontology; Periodontology and Implantology; Periodontology and Oral Implantology; Periondontics; Preventive Dental Care; Preventive Dentistry; Preventive and Community Dentistry; Preventive and Minimally Invasive Dentistry; Prosthetic Dentistry; Prosthodontia; Prosthodontics; Prosthodontics Crown Bridge; Prosthodontics Crown Bridge Implantology; Prosthodontics Implantology; Prosthodontics Restorative Dentistry; Prosthodontics With Crown and Bridge; Prosthodontics and Crown Bridge; Prosthodontics and Crown and Bridge; Prosthodontics and Implantology; Prosthodontist; Prosthodontoics; Psychiatry and Behavioral Health; Public Health Dentistry; Removable Partial Dentures; Restorative Dentistry; Restorative and Prosthetic Dentistry; Scaling Polishing; Scaling and Polishing; Scaling and Root Planing; Sedation Dentistry; Sleep Airway Dentistry; Sleep Dentistry; Sleeping Dentistry; Smile; Smile Correction; Smile Design; Smile Designing; Smile Pro; Social and Behavioral Sciences; Special Care Dentistry; Specialty Cosmetic Dentistry; Sports Dentistry; Sports Dentistry and Mouthguards; Teeth Bleaching; Teeth Cleaning; Teeth Replacement; Teeth Straightening; Teeth Whitening; Tmj; Tmj Disorder; Tmj Disorder Treatments; Tmj Disorders; Tmj Surgery; Tmj Treatment; Tooth Colour Fillings; Tooth Coloured F Illing; Tooth Extraction; Tooth Extractions; Tooth Whitening; Traditional Braces; Veneers Laminates; Wisdom Tooth Extraction; Wisdom Tooth Removal; Zoom Teeth Whitening
"Dermatology, Plastic & Aesthetic",101,6500,80000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Acne Scar Treatment; Aesthetic Dermatology; Aesthetic Surgery; Aesthetic and Cosmetic Surgery; Birthmark Removal; Breast Reduction; Burn General Surgery; Burn Management; Burn Unit; Burn and Plastic Surgery; Burns; Burns Center; Burns Management; Burns Specialist; Burns Surgery; Burns and Plastic Surgery; Cosmetic Bonding; Cosmetic Dermatology; Cosmetic Gynocology; Cosmetic Surgery; Cosmetic and Aesthetic Surgery; Cosmetic and Cosmetic Surgery; Cosmetic and Plastic Surgery; Cosmetic and Reconstructive Surgery; Cosmetics; Cosmetologist; Cosmetology; Cosmetology Dermatology; Craniofacial and Aesthetic Surgery; Dermato Surgery; Dermatologist; Dermatology; Dermatology and Venereology; Dermatologycosmetology; Dermatologyvenereology; Dermatopathology; Dermatosurgery; Excessive Sweating Treatment; Facial Aesthetics; Facial Plastic Surgery; Genetic Dermatology; Genomics and Molecular Diagnostics; Geriatric Dermatology; Hair Fall Treatment; Hair Transplant; Hair Transplant Surgeon; Hair Transplantation; Hair and Nail Disorders; Immunodermatology and Complex Medical Dermatology; Laser Hair Removal; Liposuction; Male Breast Reduction; Melasma Treatment; Microsurgery and Transplant Plastic Surgery; Miscarriage Clinic; Mole Removal; Molecular Biology; Molecular Biology and Genetics; Molecular Diagnostics; Molecular Laboratory; Molecular Microbiology; Molecular Pathology; Molecular Testing; Nail Problem; Nuclear Medicine and Molecular Imaging; Oculo Plastic Surgery; Oculo Plastics and Reconstructive Orbital Surgery; Oculoplastic Surgery; Oculoplastics and Reconstructive Orbital Surgery; Ooculoplastics and Reconstructive Orbital Surgery; Plastic Cosmetic Surgery; Plastic Reconstructive Surgery; Plastic Surgeon; Plastic Surgery; Plastic Surgery Cosmetic Surgery; Plastic and Cosmetic Surgery; Plastic and Reconstructive Surgery; Plasticcosmeticsurgery; Plasticsurgery; Podiatric Dermatology; Procedural Dermatology; Pruritus Ani; Psoriasis Treatment; Reconstructive Plastic Surgery; Rhinoplasty; Rhinoplasty and Facial Plastic Surgery; Skin; Skin Rejuvenation; Skin and Cosmetic; Skin and Vd; Skin of Color Dermatology; Stretch Marks Removal; Tattoo Removal; Tropical Dermatology; Venereology; Venereology and Sexology; Venerology; Vitiligo Surgery; Vitiligo Treatment; Wound Healing An Dermatologic Regenerative Medicine; Wound Healing and Dermatologic Regenerative Medicine
"Diagnostics, Pathology & Laboratory",95,1500,13000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,24 Hours Diagnostics; Advanced Pathology; Anatomic Pathology; Bacteriology; Bacteriology Lab; Bacteriology Laboratory; Bio Chemistry; Bio Chemistry Pathology and Microbiology; Biochemistry; Biochemistry Lab; Blood Bank; Blood Centre; Blood Storage Unit; Breast Pathology; Clinical Biochemistry; Clinical Biochemistry and Therapeutic Drug Monitoring; Clinical Chemistry; Clinical Laboratory; Clinical Laboratory Services Translational Research; Clinical Microbiology; Clinical Microbiology and Serology; Clinical Pathology; Clinical Pharmacology; Coagulation; Contract Genetic Testing; Cytology; Cytology Histopathology; Cytology Laboratory; Cytopathology; Diagnostic Radiology; Diagnostic Testing; Diagnostics; Diagnostics Blood Bank; Diagnostics Radiology; Flow Cytometry; Forensic Medicine and Toxicology; General Pathology; Genetic Testing; Genetics and Diagnostics; Haematopathology; Hematopathology; High End Testing; Histo Pathology; Histocytopathology; Histopathology; Histopathology Cytology; Histopathology Laboratory; Hormonal Assays Lab; Hormone Laboratory; Immunoassay; Immunoassays; Immunopathology; Karyotyping; Lab Medicine; Laboratory; Laboratory Medicine; Laboratory Sciences; Laboratory Services; Medical Microbiology; Medical Toxicology Em; Microbiology; Microbiology Lab; Microbiology Laboratory; Microbiology and Infectious Diease Serology; Mycology; Mycology Laboratory; Organ Testing; Parasitology; Parasitology Laboratory; Pathology; Pathology Laboratory; Pathology and Cytology; Pathology and Microbiology; Pcr Testing; Pharmacology; Preventive Medical Toxicology; Radio Diagnostics; Routine Microbiology; Serology; Serology Lab; Serology Laboratory; Special Serology; Specialized Genetic Testing; Surgical Pathology; Toxicology; Toxicology and Occupational Health; Toxicopathology; Transfusion Medicine Or Blood Bank; Transfusion Medicine and Blood Bank; Transfusion Medicine and Blood Centre; Urodynamic Lab; Virology; Virology Lab; Virology Laboratory; Visual Field Testing Services
"ENT, Head & Neck",41,6500,40000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Audiologist; Audiologists; Audiology; Audiology and Speech Pathology; Audiology and Speech Therapy; Audiometry; Diagnostic Otorhinolaryngology; Dysphonia; ENT; ENT / Otolaryngology; ENT / Otorhinolaryngology; ENT Head and Neck Surgery; ENT Otolaryngologists; ENT Specialist; ENT Surgeon; ENT Surgery; ENT and Head Neck Surgery; Ear Nose Throat; Ear Nose Throat Surgery; Earnosethroat ENT Specialist; Facial Plastics and Reconstructive Otolaryngology; Facial Plasts and Reconstructive Otolaryngology; Head Neck Surgery; Head Neck Surgery Otolaryngology; Head and Neck Surgery Otolaryngology; Laryngology; Otolaryngology; Otology; Otorhinolaryngology; Parotid Mass; Rhinology; Sleep Medicine Otolaryngology; Speech Pathology and Audiology; Speech and Audiology; Speech and Swallow Clinic; Speech and Swallowing Therapy; Swallowing and Dysphagia; Swallowing and Feeding Therapy; Tongue Tie; Voice Therapy; Voice and Fluency
"Emergency, Trauma & Critical Care",116,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Accident Emergency Medicine; Accident Fracture Care; Accident Trauma; Accident Trauma Care; Accident and Critical Care; Accident and Emergency; Accident and Trauma; Accident and Trauma Care; Addiction Emergency Medicine; Adult Critical Care Medicare; Anaesthesia Critical Care; Anaesthesia Intensive Care; Anaesthesiology Critical Care; Anaesthesiology and Critical Care; Anesthesia and Critical Care; Anesthesiology and Critical Care; Burn and Trauma Plastic Surgery; Burns and Trauma Plastic Surgery; Cardiac Intensive Care; Complex Trauma; Craniomaxillofacial Trauma Surgery; Critaical Care Emergency; Critical Care; Critical Care Doctor; Critical Care Intensive Care; Critical Care Medicine; Critical Care Medicine Anesthesiology; Critical Intensive Care; Criticalcare; Emergency Critical Care; Emergency Dental Care; Emergency Dentistry; Emergency Medical Services; Emergency Medicine; Emergency Medicine Doctor; Emergency Preparedness and Disaster Response; Emergency Psychiatry; Emergency Radiology; Emergency Trauma Care; Emergencymedicine; Eye Trauma and Emergency Eye Care; Facial Trauma; Facial Trauma Care; Fracture and Trauma Clinic; General Medicine and Emergency; General Medicine and ICU; Hand Trauma Surgery; ICU; ICU Critical Care; ICU and Critical Care; Intensive Care; Intensive Care Medicine; Intensive Care Physician and Critical Care; Intensive Care Unit; Intensive and Critical Care; Intensivecritical Care; Intensivist; Intensivist Anaesthesiologist; Internal Medicine and Critical Care; Isolation ICU; Medicine and Critical Care; Neonatal Critical Care; Neonatal Intensive Care Unit; Neuro Critical Care; Neuro Critical Care Neurosurgery; Neuro Intensive Care; Neuro Trauma; Neuro Trauma Surgery; Neurocritical Care; Neurocritical Care Anesthesia; Neurocritical Care Neurosurgery; Neurointensive Care; Neurotrauma; Neurotrauma Neurosurgery; Orthopaedic Trauma Facture Management; Orthopaedics Trauma and Sports Medicine; Orthopaedics and Trauma; Orthopedic Trauma; Orthopedic Trauma Care; Orthopedic Trauma Specialist; Orthopedic Trauma and Complex Fracture Surgery; Orthopedic Trauma and Fracture Surgery; Orthopedics Traumatology; Orthopedics and Traumatology; Paediatric Critical Care Medicine; Paediatric Emergency; Paediatric Intensive Care Unit; Pediatric Critical Care Medicine; Pediatric Dental Emergency; Pediatric Emergency Medicine; Pediatric Intensive Care; Pediatric Intensive Care Unit; Pediatric Intensivist; Pediatric Neurosurgery and Trauma; Pediatric Trauma; Pediatrics Neonatal Critical Care; Poly Trauma; Poly Trauma and Accident Care; Polytrauma; Polytrauma and Fracture; Pulmonary Sciences and Critical Care; Respiratory Medicine and Critical Care; Trauma Anesthesiology; Trauma Care; Trauma Centre; Trauma Critical Care; Trauma Fracture Care; Trauma Orthopaedic; Trauma Reconstruction; Trauma Surgery; Trauma and Emergency; Trauma and Fracture Surgery; Trauma and Joint Replacement; Trauma and Orthopaedics; Traumacarecentre; Traumatology
"Endocrinology, Diabetes & Metabolic",47,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Bariatric Surgery; Bariatric Surgery Metabolic; Bariatric Surgery and Metabolic Assessment; Bariatrics; Ca Thyroid; Carerisk Management of Diabetes; Diabetes; Diabetes Centre; Diabetes Management; Diabetes and Endocrinology; Diabetes and Metabolic Disorders; Diabetes and Obesity; Diabetic Centre of Excellence; Diabetic Eyecare; Diabetic Foot Surgery; Diabetic Foot and Wound Care; Diabetologist; Diabetology; Diabetology and Endocrinology; Diagnostic Endocrinology; Dietitian and Diabetes Educator; Endocrine Surgery; Endocrine and Diabetes and Metabolism; Endocrinologist; Endocrinology; Endocrinology and Diabetes; Endocrinology and Diabetes and Metabolism; Endocrinology and Diabetology; Endocrinology and Endocrine Surgery; Endocrinology and Metabolism; General Medicine and Diabetology; Gestational Diabetes; Internal Medicine and Diabetology; Metabolic Physician; Metabolic Surgery; Metabolic and Bariatric Surgery; Metabolicdisorder; Metabolicsurgery; Minimally Access Bariatric and Metabolic Surgery; Obesity; Obesity and Diabetic Surgery; Obesityweight Loss Programs; Podiatric Diabetic Foot; Thyroid Health; Thyroid Surgery; Thyroid and Parathyroid Clinic; Thyroid and Parathyroid Disorders
